SR No,출처,파일목록,공정,Tag No 수정,카테고리,클래스,타입,C|C|T
DOF522001530,1.0PID,B7S38-522-A905,522,"522-PA-9715-B1-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001531,1.0PID,"522-PA-9715-01,522-PA-9715-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9715-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001532,1.0PID,"522-PA-9714-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9714-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001533,1.0PID,"522-PA-9713-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9713-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001538,1.0PID,"522-N-9001-61,522-N-9001-62,522-N-9001-63,522-N-9001-64,B7S38-522-A905,Line Index 정보",522,"522-N-9001-B5-6""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001544,1.0PID,"522-IA-9001-61,522-IA-9001-62,522-IA-9001-63,522-IA-9001-64,B7S38-522-A905,Line Index 정보",522,"522-IA-9001-UXB33-3""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001548,1.0PID,"522-IA-9002-31,B7S38-522-A905,Line Index 정보",522,"522-IA-9002-UXB33-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001549,1.0PID,"522-PA-9001-61,522-PA-9001-62,B7S38-522-A905,Line Index 정보",522,"522-PA-9001-B1-3""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001551,1.0PID,"522-H-9001-61,522-H-9001-62,B7S38-522-A905,Line Index 정보",522,"522-H-9001-C3-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001553,1.0PID,B7S38-522-A905,522,"522-N-1910-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001554,1.0PID,"522-PA-3301-01,522-PA-3301-02,B7S38-522-A905,Line Index 정보",522,"522-PA-3301-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001556,1.0PID,"522-IA-9013-21,B7S38-522-A905,F-501-A122D,Line Index 정보",522,"522-IA-9013-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001557,1.0PID,"B7S38-522-A905,D-522-A207A,Line Index 정보",522,"522-IA-1603-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001558,1.0PID,"B7S38-522-A905,D-522-A207",522,"522-IA-1604-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001559,1.0PID,"522-IA-1602-11,B7S38-522-A905,D-522-A207A,Line Index 정보",522,"522-IA-1602-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001560,1.0PID,"522-IA-0701,B7S38-522-A905,D-522-A207D,Line Index 정보",522,"522-IA-0701-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001561,1.0PID,"B7S38-522-A905,D-522-A207C",522,"522-IA-0703-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001562,1.0PID,"B7S38-522-A905,D-522-A207D,Line Index 정보",522,"522-IA-0702-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001563,1.0PID,"522-IA-9014-21,522-IA-9014-22,B7S38-522-A905,F-501-A122D,Line Index 정보",522,"522-IA-9014-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001564,1.0PID,"522-IA-9012-21,B7S38-522-A905,F-501-A122D,Line Index 정보",522,"522-IA-9012-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001565,1.0PID,"522-IA-0402-11,B7S38-522-A905,D-522-A108A,Line Index 정보",522,"522-IA-0402-UXB33-1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001566,1.0PID,"522-PA-9002-31,B7S38-522-A905,Line Index 정보",522,"522-PA-9002-B1-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001567,1.0PID,"522-IA-1202-01,B7S38-522-A905,Line Index 정보",522,"522-IA-1202-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001568,1.0PID,"522-IA-1201-21,B7S38-522-A905,Line Index 정보",522,"522-IA-1201-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001569,1.0PID,"522-N-1916-21,B7S38-522-A905",522,"522-N-1916-B5-1 1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001570,1.0PID,"522-N-1916-22,522-N-1916-31,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1916-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001571,1.0PID,"522-N-1917-01,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1917-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001572,1.0PID,"522-N-1910-21,522-N-1910-22,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1910-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001573,1.0PID,"522-N-1911-01,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1911-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001574,1.0PID,"522-N-1912-01,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1912-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001575,1.0PID,"522-N-1913-01,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1913-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001576,1.0PID,"522-N-1914-01,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1914-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001577,1.0PID,"522-N-1915-01,B7S38-522-A905,F-501-A122B-1,Line Index 정보",522,"522-N-1915-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001578,1.0PID,"522-H-1031-21,B7S38-522-A905,D-522-A206,Line Index 정보",522,"522-H-1031-C3-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001579,1.0PID,"522-N-1901-21,B7S38-522-A905,D-522-A208,Line Index 정보",522,"522-N-1901-B5-3""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001580,1.0PID,B7S38-522-A905,522,"522-PA-9726-B1-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001581,1.0PID,"522-PA-9727-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9727-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001582,1.0PID,B7S38-522-A905,522,"522-PA-9730-B1-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001583,1.0PID,"522-PA-9733-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9733-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001584,1.0PID,"522-N-9733-21,B7S38-522-A905,Line Index 정보",522,"522-N-9733-B5-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001585,1.0PID,"522-PA-9742-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9742-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001586,1.0PID,"522-PA-9732-01,522-PA-9732-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9732-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001587,1.0PID,"522-PA-9743-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9743-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001588,1.0PID,"522-IA-2601-21,B7S38-522-A905,Line Index 정보",522,"522-IA-2601-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001589,1.0PID,"522-PA-9734-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9734-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001590,1.0PID,"B7S38-522-A905,D-522-A214,Line Index 정보",522,"522-IA-2602-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001591,1.0PID,"522-IA-9010-01,B7S38-522-A905,F-501-A122D,Line Index 정보",522,"522-IA-9010-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001592,1.0PID,"522-IA-9011-01,B7S38-522-A905,F-501-A122D,Line Index 정보",522,"522-IA-9011-UXB33-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001593,1.0PID,"522-PA-9735-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9735-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001594,1.0PID,"522-N-9735-21,B7S38-522-A905",522,"522-N-9735-B5-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001595,1.0PID,"522-PA-9736-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9736-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001596,1.0PID,"522-PA-9737-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9737-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001597,1.0PID,"522-N-9737-21,B7S38-522-A905,Line Index 정보",522,"522-N-9737-B5-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001599,1.0PID,"522-PA-9716-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9716-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001600,1.0PID,"522-PA-9717-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9717-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001601,1.0PID,"522-PA-9721-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9721-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001602,1.0PID,"522-PA-9722-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9722-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001603,1.0PID,"522-PA-9723-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9723-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001604,1.0PID,"522-PA-9724-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9724-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001605,1.0PID,"522-PA-9725-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9725-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001606,1.0PID,"522-PA-9726-01,522-PA-9726-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9726-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001607,1.0PID,"522-PA-9728-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9728-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001608,1.0PID,"522-PA-9729-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9729-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001609,1.0PID,"522-PA-9730-01,522-PA-9730-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9730-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001610,1.0PID,"522-PA-9731-01,B7S38-522-A905,Line Index 정보",522,"522-PA-9731-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001612,1.0PID,"522-PA-9720-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9720-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001613,1.0PID,"522-PA-0801-21,B7S38-522-A905,D-522-A108G",522,"522-PA-0801-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001614,1.0PID,"522-PA-9718,522-PA-9718-21,B7S38-522-A905,Line Index 정보",522,"522-PA-9718-B1-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001617,1.0PID,"522-V-0702-01,522-V-0702-ST,B7S38-522-A906,D-522-A108D,Line Index 정보,V-0702",522,"522-V-0702-B1F-1""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001618,1.0PID,"522-V-0701-11,522-V-0701-12,522-V-0701-ST,B7S38-522-A906,D-522-A108D,Line Index 정보,V-0701",522,"522-V-0701-B1F-1""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001619,1.0PID,"522-V-0704-01,522-V-0704-02,522-V-0704-ST,B7S38-522-A906,D-522-A108E,Line Index 정보,V-0704",522,"522-V-0704-B1F-1""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001620,1.0PID,"522-V-0703-01,522-V-0703-ST,B7S38-522-A906,D-522-A108E,Line Index 정보,V-0703",522,"522-V-0703-B1F-1""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001621,1.0PID,"522-V-1801,522-V-1801-01,522-V-1801-ST,B7S38-522-A906,D-522-A207B,Line Index 정보",522,"522-V-1801-B1F-1""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001622,1.0PID,"522-V-0712,B7S38-522-A906,D-522-A207E,Line Index 정보",522,"522-V-0712-B1F-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001623,1.0PID,"522-V-1004-01,B7S38-522-A906,D-522-A112,Line Index 정보",522,"522-V-1004-B1F-10""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001624,1.0PID,"522-V-1205,522-V-1205-ST-01,B7S38-522-A906,D-522-A112,Line Index 정보",522,"522-V-1205-B1F-16""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001625,1.0PID,"522-V-1007-01,B7S38-522-A906,D-522-A113,Line Index 정보",522,"522-V-1007-B1F-10""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001627,1.0PID,"522-V-1005-01,B7S38-522-A906,D-522-A112,Line Index 정보",522,"522-V-1005-B1F-16""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001628,1.0PID,"522-V-1204-11,B7S38-522-A906,D-522-A112,Line Index 정보",522,"522-V-1204-B1F-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001629,1.0PID,"522-V-1001-01,522-V-1001-02,522-V-1001-11,B7S38-522-A906,D-522-A106,Line Index 정보",522,"522-V-1001-B1F-6""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001630,1.0PID,"522-V-3101-01,B7S38-522-A906",522,"522-V-3101-B1F3-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001632,1.0PID,"522-V-1302-61,B7S38-522-A906,D-522-A113,Line Index 정보",522,"522-V-1302-B1F-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001634,1.0PID,"522-V-1006-61,B7S38-522-A906,D-522-A112,Line Index 정보",522,"522-V-1006-B1F-3""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001637,1.0PID,"522-V-3401-01,B7S38-522-A906",522,"522-V-3401-B1F-2""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001641,1.0PID,"522-V-2504,522-V-2504-11,B7S38-522-A906,Line Index 정보",522,"522-V-2504-B1F-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001644,1.0PID,"B7S38-522-A906,D-522-A209A",522,"522-V-2102-B1F-3/4""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001645,1.0PID,"522-V-2101-11,B7S38-522-A906,D-522-A209A,Line Index 정보",522,"522-V-2101-B1F-3""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001646,1.0PID,"522-V-1012,522-V-1012-01,522-V-1012-ST-01,B7S38-522-A906,D-522-A208,Line Index 정보",522,"522-V-1012-B1F-8""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001647,1.0PID,"522-V-2001-61,522-V-2001-62,B7S38-522-A906,D-522-A209,Line Index 정보",522,"522-V-2001-B1F-3""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001648,1.0PID,"522-V-2506,B7S38-522-A906,F-501-A122Q,Line Index 정보",522,"522-V-2506-B1F-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001649,1.0PID,"522-V-2507,B7S38-522-A906,F-501-A122Q,Line Index 정보",522,"522-V-2507-B1F-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001650,1.0PID,"522-V-1521-01,B7S38-522-A906,Line Index 정보",522,"522-V-1521-B1F-3/4""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001651,1.0PID,"522-P-1525,B7S38-522-A906,D-522-A209",522,"522-P-1525-1A5B1-6""-Ipp",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001652,1.0PID,"522-V-1008-01,B7S38-522-A906,D-522-A205,Line Index 정보",522,"522-V-1008-B1F-6""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001653,1.0PID,"522-V-1009-61,B7S38-522-A906,D-522-A206,Line Index 정보",522,"522-V-1009-B1F-3""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001654,1.0PID,"522-V-2505-01,B7S38-522-A906,F-501-A122Q,Line Index 정보",522,"522-V-2505-B1F-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001657,1.0PID,"522-CD-1111-01,B7S38-522-A911,D-522-A111",522,"522-CD-1111-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001658,1.0PID,"522-CD-9006-01,B7S38-522-A911",522,"522-CD-9006-B5-4""-Ih",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001659,1.0PID,"522-CD-9004-01,B7S38-522-A911",522,"522-CD-9004-B5-4""-Ih",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001660,1.0PID,B7S38-522-A911,522,"522-CD-0115-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001661,1.0PID,"B7S38-522-A911,D-522-A105",522,"522-CD-0117-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001662,1.0PID,"B7S38-522-A911,D-522-A105",522,"522-CD-0113-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001663,1.0PID,"B7S38-522-A911,D-522-A105",522,"522-CD-0116-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001664,1.0PID,"B7S38-522-A911,D-522-A105",522,"522-CD-0118-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001665,1.0PID,"B7S38-522-A911,D-522-A105",522,"522-CD-0119-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001666,1.0PID,"522-CD-9007-01,B7S38-522-A911",522,"522-CD-9007-B5-3""-Ih",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001667,1.0PID,"522-CD-9005-01,B7S38-522-A911",522,"522-CD-9005-B5-4""-Ih",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001669,1.0PID,"522-CD-1299-01,B7S38-522-A911,D-522-A106,Line Index 정보",522,"522-CD-1299-B5-3/4""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001670,1.0PID,"522-CD-0102-01,B7S38-522-A911,D-522-A105,Line Index 정보",522,"522-CD-0102-B5-2""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001671,1.0PID,B7S38-522-A911,522,"522-CD-1221-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001673,1.0PID,"522-CD-1311-01,B7S38-522-A911,D-522-A113",522,"522-CD-1311-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001674,1.0PID,"522-CD-0201-01,B7S38-522-A911",522,"522-CD-0201-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001675,1.0PID,"B7S38-522-A911,D-522-A105",522,"522-CD-0111-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001676,1.0PID,B7S38-522-A911,522,"522-CD-2724-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001677,1.0PID,"B7S38-522-A911,D-522-A214A,Line Index 정보",522,"522-CD-3701-B5-1 1/2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001678,1.0PID,"522-CD-1211-01,B7S38-522-A911,D-522-A112",522,"522-CD-1211-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001679,1.0PID,"522-CD-0120-01,B7S38-522-A911,D-522-A105,Line Index 정보",522,"522-CD-0120-B5-2""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001680,1.0PID,B7S38-522-A911,522,"522-CD-2721-B5-2""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001681,1.0PID,"522-CD-0311-01,B7S38-522-A911,D-522-A107",522,"522-CD-0311-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001682,1.0PID,"522-CD-0104-01,B7S38-522-A911,D-522-A105,Line Index 정보",522,"522-CD-0104-B5-2""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001686,1.0PID,"522-CD-0312-01,B7S38-522-A911,D-522-A107",522,"522-CD-0312-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001692,1.0PID,"522-CD-1922-01,B7S38-522-A911,D-522-A208A,Line Index 정보",522,"522-CD-1922-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001693,1.0PID,B7S38-522-A911,522,"522-CD-0123-B5-1""-Ist",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001694,1.0PID,"522-CD-1923-01,B7S38-522-A911,D-522-A208A",522,"522-CD-1923-B5-1""-Ipp",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001695,1.0PID,"522-CD-1924-01,B7S38-522-A911,D-522-A208A",522,"522-CD-1924-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001696,1.0PID,"522-CD-9002-01,522-CD-9002-02,522-CD-9002-03,522-CD-9002-04,B7S38-522-A911",522,"522-CD-9002-B5-6""-Ih",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
DOF522001698,1.0PID,"522-CD-2802,B7S38-522-A911,F-501-A122E,Line Index 정보",522,"522-CD-2802-B5-1""",FIXED EQUIPMENT,PIPING,PIPING,FIXED EQUIPMENT|PIPING|PIPING
