Model,SITE,공정번호(취합열),,2팀검사원,일신1차,Remark
GNH,/SLEEVE,716,,716,716,
GNH,/SM_CRANE,CRANE TRUCK,,CRANE TRUCK,CRANE TRUCK,처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GNH,/TEST,TEST 용 SITE 임,,TEST 용 SITE 임,TEST 용 SITE 임,처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GNH,/TEST-SITE,TEST 용 SITE 임,,TEST 용 SITE 임,TEST 용 SITE 임,처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GSA,/062UNIT-PSUPT-POINT,62,,62,62,
GSA,/062UNIT-STUDY,62,,62,62,
GSA,/116UNIT-GTG_NO3-FIRE,116,,116,116,
GSA,/116UNIT-GTG-EQUI,116,,116,116,
GSA,/116UNIT-GTG-EQUI_DELETE,116,,116,116,
GSA,/116UNIT-GTG-EQUI-RE,116,,116,116,
GSA,/116UNIT-GTG-STRU,116,,116,116,
GSA,/116UNIT-GTG-STRU-DELETE,116,,116,116,
GSA,/116UNIT-HRSG_PIPERACK,116,,116,116,
GSA,/116UNIT-HRSG-EQUI,116,,116,116,
GSA,/116UNIT-OTHER-EQUI,116,,116,116,
GSA,/ESR-PROJECT-HOLD,1공장 ALL ESR 공사 임(ALL AREA),,1공장 ALL ESR 공사 임(ALL AREA),1공장 ALL ESR 공사 임(ALL AREA),처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GSA,/ESR-PROJECT-ING,1공장 ALL ESR 공사 임(ALL AREA),,1공장 ALL ESR 공사 임(ALL AREA),1공장 ALL ESR 공사 임(ALL AREA),처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GSA,/ESR-PROJECT-OK,1공장 ALL ESR 공사 임(ALL AREA),,1공장 ALL ESR 공사 임(ALL AREA),1공장 ALL ESR 공사 임(ALL AREA),처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GSA,/STUDY,TEST 용 SITE 임,,TEST 용 SITE 임,TEST 용 SITE 임,처리 방안 확인 필요(리뷰 미생성 / 특정공정 포함)
GSA,/동력공정-116UNIT-CIVIL,116,,116,116,
GSA,/동력공정-116UNIT-ELEC,116,,116,116,
GSA,/동력공정-116UNIT-NO.2_GE.,116,,116,116,
GSA,/동력공정-116UNIT-NO.2_GE_ADDED,116,,116,116,
GSA,/동력공정-116UNIT-NO.2_GE_DELETED,116,,116,116,
GSA,/동력공정-116UNIT-NO.3_GE.,116,,116,116,
GSA,/동력공정-116UNIT-NO.3_GE_ADDED,116,,116,116,
GSA,/동력공정-116UNIT-NO.3_GE_DELETED,116,,116,116,
GSA,/방향족1공정-103UNIT-CIVIL,103,,103,103,
GSA,/방향족1공정-103UNIT-EQUI,103,,103,103,
GSA,/방향족1공정-103UNIT-PIPE,103,,103,103,
GSA,/방향족1공정-103UNIT-PIPESUPP,103,,103,103,
GSA,/방향족1공정-105UNIT-EQUI,105,,105,105,
GSA,/방향족2공정-201UNIT-CIVIL,201,,201,201,
GSA,/방향족2공정-201UNIT-EQUI,201,,201,201,
GSA,/방향족2공정-202UNIT-CIVIL,202,,202,202,
GSA,/방향족2공정-202UNIT-EQUI,202,,202,202,
GSA,/방향족2공정-202UNIT-INST,202,,202,202,
GSA,/방향족2공정-202UNIT-PIPESUPP,202,,202,202,
GSA,/방향족2공정-203UNIT:SCAN,203,,203,203,
GSA,/방향족2공정-203UNIT-ELEC,203,,203,203,
GSA,/방향족2공정-203UNIT-EQUI,203,,203,203,
GSA,/방향족2공정-203UNIT-INST,203,,203,203,
GSA,/방향족2공정-203UNIT-STRU,203,,203,203,
GSA,/방향족2공정-204UNIT-ELEC,204,,204,204,
GSA,/방향족2공정-204UNIT-EQUI,204,,204,204,
GSA,/방향족2공정-204UNIT-STRU,204,,204,204,
GSA,/방향족2공정-205UNIT-ELEC,205,,205,205,
GSA,/방향족2공정-205UNIT-EQUI,205,,205,205,
GSA,/방향족2공정-205UNIT-INST,205,,205,205,
GSA,/방향족2공정-209UNIT-EQUI,209,,209,209,
GSA,/방향족2공정-209UNIT-INST,209,,209,209,
GSA,/방향족2공정-210UNIT-ELEC,210,,210,210,
GSA,/방향족2공정-210UNIT-EQUI,210,,210,210,
GSA,/방향족2공정-210UNIT-STRU,210,,210,210,
GSA,/정유2공정-052UNIT-CIVIL,52,,52,52,
GSA,/정유2공정-052UNIT-ELEC,52,,52,52,
GSA,/정유2공정-052UNIT-EQUI,52,,52,52,
GSA,/정유2공정-052UNIT-INST,52,,52,52,
GSA,/정유2공정-052UNIT-OTHER,52,,52,52,
GSA,/정유2공정-052UNIT-SCAN,52,,52,52,
GSA,/정유2공정-053UNIT-CIVIL,53,,53,53,
GSA,/정유2공정-053UNIT-EQUI,53,,53,53,
GSA,/정유2공정-056UNIT-INST,56,,56,56,
GSA,/정유2공정-056UNIT-OTHER,56,,56,56,
GSA,/정유3공정-062UNIT-CIVIL,62,,62,62,
GSA,/정유3공정-062UNIT-ELEC,62,,62,62,
GSA,/정유3공정-062UNIT-EQUI,62,,62,62,
GSA,/정유3공정-062UNIT-INST,62,,62,62,
GSA,/정유3공정-062UNIT-OTHER,62,,62,62,
GSA,/정유3공정-062UNIT-PIPE,62,,62,62,
GSA,/정유3공정-062UNIT-SCAN,62,,62,62,
GSA,/정유3공정-062UNIT-STRU,62,,62,62,
GSA,/정유4공정-72UNIT-EQUI,72,,72,72,
GSA,/정유탈황공정-05UNIT-CIVIL,5,,5,5,
GSA,/정유탈황공정-05UNIT-EQUI,5,,5,5,
GSO,/1001_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1002_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1003_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1004_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1005_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1006_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1007_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1008_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1009_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1010_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1011_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1012_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1013_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1014_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1015_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1016_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1017_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1018_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1019_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1020_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1021_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1022_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1023_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1024_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1025_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1026_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1028_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1101_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1102_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1103_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1104_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1105_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1106_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1107_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
GSO,/1108_,"리뷰 생성 중복 시 GSO는 우선순위 최후순위. 
오프사이트 모델은 공정모델과 별도 활용 검토 필요",,,,"구별 불가 시, 1공장 Offsite는 GSO 통합 리뷰 생성 = 부식관리 Only"
